,lecture,lecture_id,start_time,end_time,text
10,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:05:33,00:06:05,"For example, programming languages. Those are harder for us, right? So natural languages is designed to make our communication efficient. As a result, we omit a lot of common sense knowledge because we assume everyone knows about that. We also keep a lot of ambiguities because we assume the receiver or the hearer could know how to decipher an ambiguous word based on the knowledge or the context. There's no need to demand different words for different meanings."
11,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:06:05,00:06:36,"We could overload the same word with different meanings without the problem. Because of these reasons this makes every step in natural language of processing difficult for computers, ambiguity is the main difficulty. And common sense and reasoning is often required, that's also hard. So let me give you some examples of challenges here. Consider the word level ambiguity. The same word can have different syntactic categories. For example design can be a noun or a verb."
12,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:06:39,00:07:13,"The word of root may have multiple meanings. So square root in math sense or the root of a plant. You might be able to think about it's meanings. There are also syntactical ambiguities. For example, the main topic of this lecture, natural language processing, can actually be interpreted in two ways in terms of the structure. Think for a moment and see if you can figure that out. We usually think of this as processing of natural language, but you could also think of this as do say, language processing is natural."
13,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:07:16,00:07:54,"So this is an example of synaptic ambiguity. What we have different is structures that can be applied to the same sequence of words. Another common example of an ambiguous sentence is the following. A man saw a boy with a telescope. Now in this case the question is, who had a telescope. This is called a prepositional phrase attachment ambiguity or PP attachment ambiguity. Now we generally don't have a problem with these ambiguities because we have a lot of background knowledge to help us disambiguate the ambiguity."
14,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:07:55,00:08:27,"Another example of difficulty is anaphora resolution. So think about the sentence John persuaded Bill to buy a TV for himself. The question here is does himself refer to John or Bill? So again this is something that you have to use some background or the context to figure out. Finally, presupposition is another problem. Consider the sentence, he has quit smoking. Now this obviously implies that he smoked before. So imagine a computer wants to understand all these subtle differences and meanings."
15,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:08:27,00:09:00,"It would have to use a lot of knowledge to figure that out. It also would have to maintain a large knowledge base of all the meanings of words and how they are connected to our common sense knowledge of the world. So this is why it's very difficult. So as a result, we are steep not perfect, in fact far from perfect in understanding natural language using computers. So this slide sort of gains a simplified view of state of the art technologies."
16,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:09:01,00:09:33,"We can do part of speech tagging pretty well, so I showed 97% accuracy here. Now this number is obviously based on a certain dataset, so don't take this literally. This just shows that we can do it pretty well. But it's still not perfect. In terms of parsing, we can do partial parsing pretty well. That means we can get noun phrase structures, or verb phrase structure, or some segment of the sentence, and this dude correct them in terms of the structure."
17,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:09:34,00:10:13,"And in some evaluation results, we have seen above 90% accuracy in terms of partial parsing of sentences. Again, I have to say these numbers are relative to the dataset. In some other datasets, the numbers might be lower. Most of the existing work has been evaluated using news dataset. And so a lot of these numbers are more or less biased toward news data. Think about social media data, the accuracy likely is lower. In terms of a semantical analysis, we are far from being able to do a complete understanding of a sentence."
18,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:10:13,00:10:51,"But we have some techniques that would allow us to do partial understanding of the sentence. So I could mention some of them. For example, we have techniques that can allow us to extract the entities and relations mentioned in text articles. For example, recognizing dimensions of people, locations, organizations, etc in text. So this is called entity extraction. We may be able to recognize the relations. For example, this person visited that place or this person met that person or this company acquired another company."
19,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:10:51,00:11:25,"Such relations can be extracted by using the computer current Natural Language Processing techniques. They're not perfect but they can do well for some entities. Some entities are harder than others. We can also do word sense disintegration to some extend. We have to figure out whether this word in this sentence would have certain meaning in another context the computer could figure out, it has a different meaning. Again, it's not perfect, but you can do something in that direction. We can also do sentiment analysis, meaning, to figure out whether a sentence is positive or negative."
20,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:11:25,00:12:00,"This is especially useful for review analysis, for example. So these are examples of semantic analysis. And they help us to obtain partial understanding of the sentences. It's not giving us a complete understanding, as I showed it before, for this sentence. But it would still help us gain understanding of the content. And these can be useful. In terms of inference, we are not there yet, probably because of the general difficulty of inference and uncertainties."
21,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:12:00,00:12:36,"This is a general challenge in artificial intelligence. Now that's probably also because we don't have complete semantical representation for natural [INAUDIBLE] text. So this is hard. Yet in some domains perhaps, in limited domains when you have a lot of restrictions on the word uses, you may be able to perform inference to some extent. But in general we can not really do that reliably. Speech act analysis is also far from being done and we can only do that analysis for very special cases."
22,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:12:36,00:13:07,"So this roughly gives you some idea about the state of the art. And then we also talk a little bit about what we can't do, and so we can't even do 100% part of speech tagging. Now this looks like a simple task, but think about the example here, the two uses of off may have different syntactic categories if you try to make a fine grained distinctions. It's not that easy to figure out such differences."
23,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:13:10,00:13:46,"It's also hard to do general complete parsing. And again, the same sentence that you saw before is example. This ambiguity can be very hard to disambiguate and you can imagine example where you have to use a lot of knowledge in the context of the sentence or from the background, in order to figure out who actually had the telescope. So although the sentence looks very simple, it actually is pretty hard. And in cases when the sentence is very long, imagine it has four or five prepositional phrases, and there are even more possibilities to figure out."
24,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:13:48,00:14:20,"It's also harder to do precise deep semantic analysis. So here's an example. In the sentence ""John owns a restaurant."" How do we define owns exactly? The word own, it is something that we can understand but it's very hard to precisely describe the meaning of own for computers. So as a result we have a robust and a general Natural Language Processing techniques that can process a lot of text data."
25,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:14:22,00:14:59,"In a shallow way, meaning we only do superficial analysis. For example, parts of speech tagging or a partial parsing or recognizing sentiment. And those are not deep understanding, because we're not really understanding the exact meaning of the sentence. On the other hand of the deep understanding techniques tend not to scale up well, meaning that they would fill only some restricted text. And if you don't restrict the text domain or the use of words, then these techniques tend not to work well."
26,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:14:59,00:15:35,"They may work well based on machine learning techniques on the data that are similar to the training data that the program has been trained on. But they generally wouldn't work well on the data that are very different from the training data. So this pretty much summarizes the state of the art of Natural Language Processing. Of course, within such a short amount of time we can't really give you a complete view of NLP, which is a big field. And I'd expect to see multiple courses on Natural Language Processing topic itself."
27,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:15:35,00:16:06,"But because of its relevance to the topic that we talk about, it's useful for you to know the background in case you happen to be exposed to that. So what does that mean for Text Retrieval? Well, in Text Retrieval we are dealing with all kinds of text. It's very hard to restrict text to a certain domain. And we also are often dealing with a lot of text data. So that means The NLP techniques must be general, robust, and efficient."
28,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:16:06,00:16:37,"And that just implies today we can only use fairly shallow NLP techniques for text retrieval. In fact, most search engines today use something called a bag of words representation. Now, this is probably the simplest representation you can possibly think of. That is to turn text data into simply a bag of words. Meaning we'll keep individual words, but we'll ignore all the orders of words. And we'll keep duplicated occurrences of words."
29,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:16:37,00:17:12,"So this is called a bag of words representation. When you represent text in this way, you ignore a lot of valid information. That just makes it harder to understand the exact meaning of a sentence because we've lost the order. But yet this representation tends to actually work pretty well for most search tasks. And this was partly because the search task is not all that difficult. If you see matching of some of the query words in a text document, chances are that that document is about the topic, although there are exceptions."
30,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:17:13,00:17:48,"So in comparison of some other tasks, for example, machine translation would require you to understand the language accurately. Otherwise the translation would be wrong. So in comparison such tasks are all relatively easy. Such a representation is often sufficient and that's also the representation that the major search engines today, like a Google or Bing are using. Of course, I put in parentheses but not all, of course there are many queries that are not answered well by the current search engines, and they do require the replantation that would go beyond bag of words replantation."
31,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:17:48,00:18:23,"That would require more natural language processing to be done. There was another reason why we have not used the sophisticated NLP techniques in modern search engines. And that's because some retrieval techniques actually, naturally solved the problem of NLP. So one example is word sense disintegration. Think about a word like Java. It could mean coffee or it could mean program language. If you look at the word anome, it would be ambiguous, but when the user uses the word in the query, usually there are other words."
32,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:18:23,00:18:58,"For example, I'm looking for usage of Java applet. When I have applet there, that implies Java means program language. And that contest can help us naturally prefer documents which Java is referring to program languages. Because those documents would probably match applet as well. If Java occurs in that documents where it means coffee then you would never match applet or with very small probability. So this is the case when some retrieval techniques naturally achieve the goal of word."
33,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:19:01,00:19:32,"Another example is some technique called feedback which we will talk about later in some of the lectures. This technique would allow us to add additional words to the query and those additional words could be related to the query words. And these words can help matching documents where the original query words have not occurred. So this achieves, to some extent, semantic matching of terms."
34,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:19:32,00:20:05,"So those techniques also helped us bypass some of the difficulties in natural language processing. However, in the long run we still need a deeper natural language processing techniques in order to improve the accuracy of the current search engines. And it's particularly needed for complex search tasks. Or for question and answering. Google has recently launched a knowledge graph, and this is one step toward that goal, because knowledge graph would contain entities and their relations."
35,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:20:05,00:20:43,"And this goes beyond the simple bag of words replantation. And such technique should help us improve the search engine utility significantly, although this is the open topic for research and exploration. In sum, in this lecture we talked about what is NLP and we've talked about the state of that techniques. What we can do, what we cannot do. And finally, we also explain why the bag of words replantation remains the dominant replantation used in modern search engines, even though deeper NLP would be needed for future search engines."
36,Lesson 1.1 Natural Language Content Analysis.vtt,rLpwp,00:20:43,00:21:02,"If you want to know more, you can take a look at some additional readings. I only cited one here and that's a good starting point. Thanks. [MUSIC]"
37,Lesson 1.2 Text Access.vtt,OvxTu,00:00:00,00:00:30,"[SOUND] In this lecture, we're going to talk about the text access. In the previous lecture, we talked about the natural language content, analysis. We explained that the state of the are natural language processing techniques are still not good enough to process a lot of unrestricted text data in a robust manner."
38,Lesson 1.2 Text Access.vtt,OvxTu,00:00:30,00:01:11,"As a result, bag of words remains very popular in applications like a search engine. In this lecture, we're going to talk about some high-level strategies to help users get access to the text data. This is also important step to convert raw big text data into small random data. That are actually needed in a specific application. So the main question we'll address here, is how can a text information system, help users get access to the relevant text data? We're going to cover two complimentary strategies, push versus pull."
39,Lesson 1.2 Text Access.vtt,OvxTu,00:01:12,00:01:46,"And then we're going to talk about two ways to implement the pull mode, querying versus browsing. So first push versus pull. These are two different ways connect the users with the right information at the right time. The difference is which takes the initiative, which party takes the initiative. In the pull mode, the users take the initiative to start the information access process."
40,Lesson 1.2 Text Access.vtt,OvxTu,00:01:47,00:02:22,"And in this case, a user typically would use a search engine to fulfill the goal. For example, the user may type in the query and then browse the results to find the relevant information. So this is usually appropriate for satisfying a user's ad hoc information need. An ad hoc information need is a temporary information need. For example, you want to buy a product so you suddenly have a need to read reviews about related product."
41,Lesson 1.2 Text Access.vtt,OvxTu,00:02:22,00:02:52,"But after you have cracked information, you have purchased in your product. You generally no longer need such information, so it's a temporary information need. In such a case, it's very hard for a system to predict your need, and it's more proper for the users to take the initiative, and that's why search engines are very useful. Today because many people have many information needs all the time. So as we're speaking Google is probably processing many queries from this."
42,Lesson 1.2 Text Access.vtt,OvxTu,00:02:52,00:03:24,"And those are all, or mostly adequate. Information needs. So this is a pull mode. In contrast in the push mode in the system would take the initiative to push the information to the user or to recommend information to the user. So in this case this is usually supported by a recommender system. Now this would be appropriate if. The user has a stable information. For example you may have a research interest in some topic and that interest tends to stay for a while."
43,Lesson 1.2 Text Access.vtt,OvxTu,00:03:24,00:03:56,"So, it's rather stable. Your hobby is another example of. A stable information need is such a case the system can interact with you and can learn your interest, and then to monitor the information stream. If the system hasn't seen any relevant items to your interest, the system could then take the initiative to recommend the information to you. So, for example, a news filter or news recommended system could monitor the news stream and identify interesting news to you and simply push the news articles to you."
44,Lesson 1.2 Text Access.vtt,OvxTu,00:03:59,00:04:34,"This mode of information access may be also a property that when this system has good knowledge about the users need and this happens in the search context. So for example, when you search for information on the web a search engine might infer you might be also interested in something related. Formation. And they would recommend the information to you, so that just reminds you, for example, of an advertisement placed on the search page. So this is about the two high level strategies or two modes of text access."
45,Lesson 1.2 Text Access.vtt,OvxTu,00:04:35,00:05:07,"Now let's look at the pull mode in more detail. In the pull mode, we can further distinguish it two ways to help users. Querying versus browsing. In querying, a user would just enter a query. Typical the keyword query, and the search engine system would return relevant documents to use. And this works well when the user knows what exactly are the keywords to be used. So if you know exactly what you are looking for, you tend to know the right keywords. And then query works very well, and we do that all of the time."
46,Lesson 1.2 Text Access.vtt,OvxTu,00:05:09,00:05:39,"But we also know that sometimes it doesn't work so well. When you don't know the right keywords to use in the query, or you want to browse information in some topic area. You use because browsing would be more useful. So in this case, in the case of browsing, the users would simply navigate it, into the relevant information by following the paths supported by the structures of documents."
47,Lesson 1.2 Text Access.vtt,OvxTu,00:05:39,00:06:12,So the system would maintain some kind of structures and then the user could follow these structures to navigate. So this really works well when the user wants to explore the information space or the user doesn't know what are the keywords to using the query. Or simply because the user finds it inconvenient to type in a query. So even if a user knows what query to type in if the user is using a cellphone to search for information.
48,Lesson 1.2 Text Access.vtt,OvxTu,00:06:12,00:06:43,"It's still harder to enter the query. In such a case, again, browsing tends to be more convenient. The relationship between browsing and querying is best understood by making and imagine you're site seeing. Imagine if you're touring a city. Now if you know the exact address of attraction. Taking a taxi there is perhaps the fastest way. You can go directly to the site. But if you don't know the exact address, you may need to walk around. Or you can take a taxi to a nearby place and then walk around."
49,Lesson 1.2 Text Access.vtt,OvxTu,00:06:44,00:07:14,"It turns out that we do exactly the same in the information studies. If you know exactly what you are looking for, then you can use the right keywords in your query to find the information you're after. That's usually the fastest way to do, find information. But what if you don't know the exact keywords to use? Well, you clearly probably won't so well. You will not related pages. And then, you need to also walk around in the information space, meaning by following the links or by browsing."
50,Lesson 1.2 Text Access.vtt,OvxTu,00:07:14,00:07:50,"You can then finally get into the relevant page. If you want to learn about again. You will likely do a lot of browsing so just like you are looking around in some area and you want to see some interesting attractions related in the same. [INAUDIBLE]. So this analogy also tells us that today we have very good support for query, but we don't really have good support for browsing."
51,Lesson 1.2 Text Access.vtt,OvxTu,00:07:50,00:08:26,"And this is because in order to browse effectively, we need a map to guide us, just like you need a map to. Of Chicago, through the city of Chicago, you need a topical map to tour the information space. So how to construct such a topical map is in fact a very interesting research question that might bring us more interesting browsing experience on the web or in applications. So, to summarize this lecture, we've talked about the two high level strategies for text access; push and pull."
52,Lesson 1.2 Text Access.vtt,OvxTu,00:08:26,00:08:58,"Push tends to be supported by the Recommender System, and Pull tends to be supported by the Search Engine. Of course, in the sophisticated [INAUDIBLE] information system, we should combine the two. In the pull mode, we can further this [INAUDIBLE] Querying and Browsing. Again we generally want to combine the two ways to help you assist, so that you can support the both querying nad browsing. If you want to know more about the relationship between pull and push, you can read this article."
53,Lesson 1.2 Text Access.vtt,OvxTu,00:08:58,00:09:22,This give excellent discussion of the relationship between machine filtering and information retrieval. Here informational filtering is similar to information recommendation or the push mode of information access. [MUSIC]
54,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:00:00,00:00:30,"[MUSIC] This lecture is about the text retrieval problem. This picture shows our overall plan for lectures. In the last lecture, we talked about the high level strategies for text access. We talked about push versus pull. Such engines are the main tools for supporting the pull mode."
55,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:00:30,00:01:06,"Starting from this lecture, we're going to talk about the how search engines work in detail. So first it's about the text retrieval problem. We're going to talk about the three things in this lecture. First, we define Text Retrieval. Second we're going to make a comparison between Text Retrieval and the related task Database Retrieval. Finally, we're going to talk about the Document Selection versus Document Ranking as two strategies for responding to a user's query."
56,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:01:09,00:01:40,"So what is Text Retrieval? It should be a task that's familiar for the most of us because we're using web search engines all the time. So text retrieval is basically a task where the system would respond to a user's query With relevant documents. Basically, it's for supporting a query as one way to implement the poll mode of information access. So the situation is the following."
57,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:01:40,00:02:15,"You have a collection of text retrieval documents. These documents could be all the webpages on the web, or all the literature articles in the digital library. Or maybe all the text files in your computer. A user will typically give a query to the system to express information need. And then, the system would return relevant documents to users. Relevant documents refer to those documents that are useful to the user who typed in the query."
58,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:02:16,00:02:47,"All this task is a phone call that information retrieval. But literally information retrieval would broadly include the retrieval of other non-textual information as well, for example audio, video, etc. It's worth noting that Text Retrieval is at the core of information retrieval in the sense that other medias such as video can be retrieved by exploiting the companion text data."
59,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:02:47,00:03:25,"So for example, current the image search engines actually match a user's query was the companion text data of the image. This problem is also called search problem. And the technology is often called the search technology industry. If you ever take a course in databases it will be useful to pause the lecture at this point and think about the differences between text retrieval and database retrieval."
60,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:03:25,00:03:57,"Now these two tasks are similar in many ways. But, there are some important differences. So, spend a moment to think about the differences between the two. Think about the data, and the information managed by a search engine versus those that are managed by a database system. Think about the different between the queries that you typically specify for database system versus queries that are typed in by users in a search engine."
61,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:03:59,00:04:30,"And then finally think about the answers. What's the difference between the two? Okay, so if we think about the information or data managed by the two systems, we will see that in text retrieval. The data is unstructured, it's free text. But in databases, they are structured data where there is a clear defined schema to tell you this column is the names of people and that column is ages, etc."
62,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:04:31,00:05:05,"The unstructured text is not obvious what are the names of people mentioned in the text. Because of this difference, we also see that text information tends to be more ambiguous and we talk about that in the processing chapter, whereas in databases. But they don't tend to have where to find the semantics. The results important difference in the queries, and this is partly due to the difference in the information or data."
63,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:05:07,00:05:43,"So test queries tend to be ambiguous. Whereas in their research, the queries are typically well-defined. Think about a SQL query that would clearly specify what records to be returned. So it has very well-defined semantics. Keyword queries or electronic queries tend to be incomplete, also in that it doesn't really specify what documents should be retrieved."
64,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:05:43,00:06:19,"Whereas complete specification for what should be returned. And because of these differences, the answers would be also different. Being the case of text retrieval, we're looking for it rather than the documents. In the database search, we are retrieving records or match records with the sequel query more precisely. Now in the case of text retrieval, what should be the right answers to the query is not very well specified, as we just discussed."
65,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:06:21,00:06:51,"So it's unclear what should be the right answers to a query. And this has very important consequences, and that is, textual retrieval is an empirically defined problem. So this is a problem because if it's empirically defined, then we can not mathematically prove one method is better than another method."
66,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:06:52,00:07:24,"That also means we must rely on empirical evaluation involving users to know which method works better. And that's why we have. You need more than one lectures to cover the issue of evaluation. Because this is very important topic for Sir Jennings. Without knowing how to evaluate heroism properly, there's no way to tell whether we have got the better or whether one system is better than another."
67,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:07:28,00:08:01,"So now let's look at the problem in a formal way. So, this slide shows a formal formulation of the text retrieval problem. First, we have our vocabulary set, which is just a set of words in a language. Now here, we are considering only one language, but in reality, on the web, there might be multiple natural languages. We have texts that are in all kinds of languages. But here for simplicity, we just assume that is one kind of language."
68,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:08:01,00:08:36,"As the techniques used for retrieving data from multiple languages Are more or less similar to the techniques used for retrieving documents in one end, which although there is important difference, the principle methods are very similar. Next, we have the query, which is a sequence of words. And so here, you can see the query is defined as a sequence of words."
69,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:08:36,00:09:08,"Each q sub i is a word in the vocabulary. A document is defined in the same way, so it's also a sequence of words. And here, d sub ij is also a word in the vocabulary. Now typically, the documents are much longer than queries. But there are also cases where the documents may be very short. So you can think about what might be a example of that case."
70,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:09:09,00:09:46,"I hope you can think of Twitter search. Tweets are very short. But in general, documents are longer than the queries. Now, then we have a collection of documents, and this collection can be very large. So think about the web. It could be very large. And then the goal of text retrieval is you'll find the set of relevant in the documents, which we denote by R'(q), because it depends on the query."
71,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:09:46,00:10:32,"And this in general, a subset of all the documents in the collection. Unfortunately, this set of relevant documents is generally unknown, and user-dependent in the sense that, for the same query typed in by different users, they expect the relevant documents may be different. The query given to us by the user is only a hint on which document should be in this set. And indeed, the user is generally unable to specify what exactly should be in this set, especially in the case of web search, where the connection's so large, the user doesn't have complete knowledge about the whole production."
72,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:10:34,00:11:07,"So the best search system can do is to compute an approximation of this relevant document set. So we denote it by R'(q). So formerly, we can see the task is to compute this R'(q) approximation of the relevant documents. So how can we do that? Now imagine if you are now asked to write a program to do this."
73,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:11:08,00:11:47,"What would you do? Now think for a moment. Right, so these are your input. The query, the documents. And then you are to compute the answers to this query, which is a set of documents that would be useful to the user. So, how would you solve the problem? Now in general, there are two strategies that we can use. The first strategy is we do a document selection, and that is, we're going to have a binary classification function, or binary classifier."
74,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:11:49,00:12:22,"That's a function that would take a document and query as input, and then give a zero or one as output to indicate whether this document is relevant to the query or not. So in this case, you can see the document. The relevant document is set, is defined as follows. It basically, all the documents that have a value of 1 by this function."
75,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:12:25,00:12:57,"So in this case, you can see the system must have decide if the document is relevant or not. Basically, it has to say whether it's one or zero. And this is called absolute relevance. Basically, it needs to know exactly whether it's going to be useful to the user. Alternatively, there's another strategy called document ranking. Now in this case, the system is not going to make a call whether a document is random or not. But rather the system is going to use a real value function, f here."
76,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:12:58,00:13:37,"That would simply give us a value that would indicate which document is more likely relevant. So it's not going to make a call whether this document is relevant or not. But rather it would say which document is more likely relevant. So this function then can be used to random documents, and then we're going to let the user decide where to stop, when the user looks at the document. So we have a threshold theta here to determine what documents should be in this approximation set."
77,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:13:37,00:14:07,"And we're going to assume that all the documents that are ranked above the threshold are in this set, because in effect, these are the documents that we deliver to the user. And theta is a cutoff determined by the user. So here we've got some collaboration from the user in some sense, because we don't really make a cutoff. And the user kind of helped the system make a cutoff."
78,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:14:08,00:14:45,"So in this case, the system only needs to decide if one document is more likely relevant than another. And that is, it only needs to determine relative relevance, as opposed to absolute relevance. Now you can probably already sense that relative relevance would be easier to determine than absolute relevance. Because in the first case, we have to say exactly whether a document is relevant or not. And it turns out that ranking is indeed generally preferred to document selection."
79,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:14:46,00:15:30,"So let's look at these two strategies in more detail. So this picture shows how it works. So on the left side, we see these documents, and we use the pluses to indicate the relevant documents. So we can see the true relevant documents here consists this set of true relevant documents, consists of these process, these documents. And with the document selection function, we're going to basically classify them into two groups, relevant documents, and non-relevant ones."
80,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:15:30,00:16:04,"Of course, the classified will not be perfect so it will make mistakes. So here we can see, in the approximation of the relevant documents, we have got some number in the documents. And similarly, there is a relevant document that's misclassified as non-relevant. In the case of document ranking, we can see the system seems like, simply ranks all the documents in the descending order of the scores. And then, we're going to let the user stop wherever the user wants to stop."
81,Lesson 1.3 Text Retrieval Problem.vtt,CXoWB,00:16:04,00:16:46,"If the user wants to examine more documents, then the user will scroll down some more and then stop [INAUDIBLE]. But if the user only wants to read a few random documents, the user might stop at the top position. So in this case, the user stops at d4. So in fact, we have delivered these four documents to our user. So as I said ranking is generally preferred, and one of the reasons is because the classifier in the case of document selection is unlikely accurate."
